#A. Arinyo-i-Prats, V1, catalogue Metal Stength  mesure of the metal strength (corrected by the DLA's column and not) belonging to the Damped Lyman-alpha systems  SDSS catalog (done by P. Notredame DR12_V1)
# ========================================================================================   
# Col1:  A15 (I5-I04-I04)  MJD, plate and fiber number of highest SNR spectrum (if combined)
# Col2:  F9.5              Right ascension in degrees
# Col3:  F+8.4             Declination in degrees 
# Col4:  F6.4		   Quasar redshift
# Col5:  F5.1              Continuum to noise ratio in [Lyb-Lya] region
# col6:  I6		   Visual Flag for the DLAs
# Col7:  I6                Balnicity Index (km/s)      --> Isabelle
# Col8:  F6.4              Absorption redshift of the DLA candidate
# Col9:  F5.2              Log10 of HI column density (cm^-2)
# Col10-11: 		   Metal strenght and its error, corrected by the column density HI, in adimensional units
# Col12-13: 		   Metal strenght and its error, uncorrected , in adimensional units
#=======================================================================================================
##MJD-Plate-Fiver RA       Dec 	    zqso CNR  flDLA BI  z_abs   NHI 	MS(HI)   errMS(HI) MS	  errMS  
#-------------------------------------------------------------------------------------------------------
55338-3925-0967 241.74793 +18.1934  3.031 8     1  0    2.6225  20.23   2.4721   0.527   1.7975   0.375   
55332-3924-0336 241.76164 +19.1665  3.323 4.2   0  0    2.3303  20.92   0.1118   0.496   0.1319   0.772   
55660-4071-0212 241.79578 +13.4045  2.199 7.7   1  0    2.0809  20.47   4.5595   0.131   4.3064   0.124   
55719-4961-0844 241.82233 +32.7842  3.204 1.7   1  0    2.8867  20.63   -1.0119  0.486   -1.0655  0.514   
55719-4961-0852 241.82953 +32.9470  3.177 4.4   1  0    2.6162  20.58   1.2438   0.693   1.3048   0.724   
55331-3928-0492 241.84448 +22.5713  2.409 3.2   0  0    2.3013  20.43   -0.7073  0.181   -0.6614  0.174   
55744-5008-0538 241.85735 +28.1857  2.658 3.2   1  0    2.6341  20.3    3.2242   0.291   2.7912   0.252   
56103-6034-0380 241.85846 +43.5090  2.782 4     0  0    2.7699  20.63   2.5570   0.176   2.7119   0.187   
55721-4965-0961 241.86137 +35.0054  3.112 2.7   1  0    2.7886  20.3    1.6355   0.438   1.3735   0.364   
55332-3924-0738 241.88174 +19.9529  3.319 2.5   1  0    3.0327  20.64   2.3571   0.329   2.5006   0.354   
55707-5009-0314 241.88720 +29.6126  2.773 3.9   0  0    2.4889  20.07   2.2670   0.559   1.4051   0.363   
56189-6323-0302 241.88864 +46.3832  2.711 3.4   1  0    2.2907  20.06   2.1947   0.928   1.0912   0.53    
55362-4072-0384 241.89261 +16.0715  4.764 7.2   1  0    4.4733  20.29   0.0000   0       0.0000   0       
55707-5009-0306 241.89285 +29.3117  2.888 20.7  1  0    2.5228  20.02   0.5513   0.301   0.1562   0.145   
55336-3934-0118 241.91263 +24.1969  2.973 3.2   0  0    2.2478  20.12   2.3869   0.989   1.4940   0.609   
55335-3929-0268 241.91820 +21.7732  2.323 11.8  1  0    2.134   21.69   1.0123   0.0402  1.9420   0.0793  
56448-6786-0798 241.92258 +58.4632  2.235 3.7   0  0    2.2217  20.14   0.2412   0.182   0.1610   0.133   
56453-6320-0890 241.92395 +49.3820  3.291 6     1  0    2.6048  21.06   1.0270   0.344   1.4763   0.523   
56453-6320-0890 241.92395 +49.3820  3.291 6     1  0    3.2207  20.15   0.4401   0.171   0.4472   0.139   
56401-6716-0984 241.93460 +51.6268  2.294 5     0  946  2.1498  21.17   0.7828   0.167   1.1321   0.256   
56401-6716-0984 241.93460 +51.6268  2.294 5     0  946  2.218   21.35   -0.3350  0.156   -0.6195  0.263   
56036-5204-0122 241.93815 +9.7518   2.425 6.5   0  0    2.045   20.49   0.5211   0.235   0.5121   0.226   
55335-3929-0290 241.94437 +20.8969  2.56  2     1  0    2.328   20.41   0.6313   0.343   0.5702   0.307   
55335-3929-0290 241.94437 +20.8969  2.56  2     1  0    2.3665  20.79   0.0824   0.254   0.0811   0.306   
56018-5207-0264 241.98088 +7.9728   2.878 3.5   0  0    2.215   20.01   0.4139   1.04    0.0727   0.537   
56091-5200-0256 241.98132 +37.3069  3.241 1.6   0  0    2.9608  20.12   0.6473   0.887   0.4644   0.627   
55707-5009-0740 241.99263 +29.8400  2.744 4.1   0  0    2.3642  20.19   0.0682   0.833   0.1174   0.553   
56430-6793-0296 241.99442 +54.5271  2.879 5.5   1  0    2.6315  20.32   -2.5474  0.15    -2.1149  0.123   
56092-6052-0090 241.99465 +39.9010  2.682 3     0  0    2.4633  20.05   0.9882   0.391   0.5679   0.238   
56483-6316-0540 241.99568 +50.6962  3.139 7.7   1  0    3.0573  21.68   0.9248   0.0505  1.6325   0.0872  
56430-6793-0684 242.01021 +56.3637  2.217 2.5   1  0    2.1274  20.59   1.3966   0.187   1.4509   0.194   
55335-3929-0743 242.01197 +22.9883  3.246 6.6   0  0    2.3472  20.24   5.7772   1.6     3.5740   0.98    
55335-3929-0743 242.01197 +22.9883  3.246 6.6   0  0    2.5231  20.51   1.9154   0.488   1.8399   0.468   
56448-6976-0458 242.02331 +58.1598  2.953 3.4   1  0    2.5524  20.64   0.9402   0.598   0.9887   0.658   
56036-5204-0880 242.02569 +11.6268  2.767 4.9   0  0    2.0994  20.15   -0.8407  0.657   -0.4033  0.421   
56036-5204-0880 242.02569 +11.6268  2.767 4.9   0  0    2.4905  20.75   -0.0559  0.201   -0.0561  0.23    
55749-4964-0612 242.04538 +36.0591  2.689 3.3   0  0    2.5619  20.25   -1.5601  0.63    -1.2095  0.483   
55687-4807-0384 242.04965 +3.6318   2.821 4     1  0    2.6642  20.48   1.5832   0.239   1.5073   0.228   
56091-5200-0232 242.05777 +37.7909  3.986 2.2   0  0    3.8505  20.34   -0.5499  0.498   -0.5177  0.455   
56090-6044-0552 242.06404 +42.1062  2.899 4.1   0  0    2.3557  20.11   1.0801   1.22    0.4521   0.717   
55335-3929-0271 242.06430 +21.7920  3.077 4.2   0  0    2.6298  20.07   -1.2520  1.11    -0.6918  0.636   
55687-4807-0366 242.07892 +3.1158   2.834 2     0  0    2.5883  20.53   0.2026   0.203   0.2002   0.201   
55332-3924-0204 242.08707 +18.5165  3.209 4.1   1  0    2.4993  20.47   2.0087   0.583   1.8684   0.544   
55660-4071-0154 242.11366 +14.2392  3.321 4.6   1  0    2.9653  20.29   1.5607   0.269   1.2757   0.221   
55708-4895-0704 242.13213 +7.6844   2.129 4.5   1  0    2.0875  20.38   0.5423   0.108   0.5128   0.0983  
55749-4964-0398 242.14850 +35.2160  2.956 9.4   1  0    2.2143  21.06   0.9375   0.119   1.3719   0.177   
55749-4964-0398 242.14850 +35.2160  2.956 9.4   1  0    2.9029  20.41   1.4704   0.0857  1.3827   0.08    
55742-4724-0913 242.14887 +27.6713  2.935 1.6   0  0    2.5907  20.65   -1.7425  1.49    -2.0425  1.67    
55742-4724-0932 242.15148 +26.9631  2.326 3.3   1  0    2.2575  20.35   0.4662   0.199   0.4059   0.177   
55742-4724-0932 242.15148 +26.9631  2.326 3.3   1  0    2.2822  20.09   2.5960   0.272   2.0188   0.197   
56189-6323-0284 242.16144 +45.8016  2.725 4.4   1  0    2.3944  20.64   1.4793   0.642   1.5941   0.701   
55749-4964-0377 242.18125 +34.9013  3.141 1.8   1  0    2.634   20.96   2.1093   0.906   3.5014   1.36    
56091-5200-0786 242.19557 +39.2937  3.265 1.7   0  0    3.1965  20.06   0.6455   0.533   0.5224   0.429   
55362-4072-0288 242.20036 +15.4619  2.595 2.4   0  0    2.4299  20.08   3.4199   0.586   2.1715   0.373   
56448-6786-0166 242.20465 +56.6025  2.541 1.9   1  0    2.3326  20.4    -0.2442  0.678   -0.2124  0.604   
55332-3924-0172 242.21274 +19.2241  3.215 7.9   1  0    2.3242  20.27   2.8769   1.21    2.0610   0.812   
55332-3924-0172 242.21274 +19.2241  3.215 7.9   1  0    2.8096  20.97   0.5314   0.433   0.8116   0.606   
55332-3924-0172 242.21274 +19.2241  3.215 7.9   1  0    3.1379  20.48   1.9840   0.149   1.9459   0.147   
55660-4071-0900 242.22292 +14.5650  2.414 3.4   1  0    2.3824  20.18   2.5129   0.246   1.9910   0.193   
55336-3934-0064 242.22403 +23.7920  2.215 3.3   0  0    2.198   20.28   0.6671   0.399   0.5865   0.332   
55744-5008-0404 242.22713 +26.8460  2.418 2.3   0  0    2.3611  20.11   -0.6504  0.729   -0.4924  0.575   
56448-6786-0842 242.24986 +57.8147  2.335 3.2   0  0    2.2291  20.24   0.8937   0.175   0.7929   0.152   
55708-4895-0736 242.25482 +6.8452   2.709 1.7   0  0    2.2351  20.37   2.7678   1.6     2.3871   1.37    
55681-4070-0518 242.26708 +13.9207  3.512 7.7   0  0    2.265   20.15   0.1982   0.79    0.2032   0.526   
55681-4070-0502 242.27277 +13.8531  3.157 5.8   1  0    2.9754  20.05   1.5750   0.267   0.9708   0.162   
55749-4964-0622 242.27744 +36.7881  4.211 1.8   1  0    3.9248  20.21   1.1031   0.672   0.8468   0.515   
55749-4964-0622 242.27744 +36.7881  4.211 1.8   1  0    4.0221  20.04   -0.7993  1.1     -0.5036  0.708   
55749-4964-0622 242.27744 +36.7881  4.211 1.8   1  0    4.106   20.97   -0.3358  0.23    -0.4334  0.28    
55742-4724-0078 242.28423 +26.6605  2.499 8.9   0  0    1.959   20.1    1.7313   0.273   1.0286   0.156   
56103-6034-0272 242.28658 +44.1627  2.816 4.4   0  0    2.1695  20.64   1.2320   0.466   1.3825   0.515   
55749-4964-0374 242.28709 +35.0450  3.371 4.9   1  0    2.2642  20.07   -0.5738  0.956   -0.2873  0.56    
55749-4964-0374 242.28709 +35.0450  3.371 4.9   1  0    2.773   20.09   1.0671   1.25    0.3526   0.697   
55749-4964-0374 242.28709 +35.0450  3.371 4.9   1  0    3.0872  21.16   -1.1659  0.698   -2.2269  1.33    
55660-4071-0088 242.29246 +13.2223  3.885 9     0  0    3.4396  20.33   2.1422   0.468   1.6785   0.371   
55719-4961-0120 242.29709 +32.0987  4.019 2.7   1  0    3.5929  20.26   1.0885   0.287   0.8661   0.23    
56018-5207-0844 242.29902 +9.0834   2.445 3.2   0  0    2.1095  20.05   1.6226   1.1     0.9321   0.609   
55365-4069-0500 242.31600 +18.1074  3.172 28.8  1  0    2.6135  20.32   2.6343   0.14    2.0557   0.111   
55708-4895-0737 242.32350 +6.5072   2.619 8     1  0    2.4159  20.6    2.1616   0.085   2.2658   0.0892  
56430-6793-0750 242.32375 +56.2731  3.224 5.9   1  0    2.3395  20.55   -1.0732  1.09    -1.3262  1.14    
56430-6793-0750 242.32375 +56.2731  3.224 5.9   1  0    2.7957  21      1.4540   0.49    2.0166   0.698   
56453-6320-0088 242.33048 +48.3379  2.825 3.1   1  0    2.6101  20.08   4.4625   0.319   2.8473   0.202   
55332-3924-0142 242.33682 +19.4813  2.831 6.2   1  0    2.0338  20.09   -0.6145  0.836   -0.1599  0.435   
55332-3924-0142 242.33682 +19.4813  2.831 6.2   1  0    2.1995  20.05   0.3065   0.615   0.1619   0.337   
55332-3924-0142 242.33682 +19.4813  2.831 6.2   1  0    2.2979  21.67   0.3514   0.184   0.7631   0.388   
55332-3924-0142 242.33682 +19.4813  2.831 6.2   1  0    2.5358  20.71   0.5972   0.144   0.6637   0.16    
55336-3934-0038 242.35748 +24.2990  2.712 4.7   1  0    2.4633  21.13   0.2634   0.143   0.3013   0.205   
56036-5204-0932 242.35879 +11.2449  2.711 4.1   0  0    2.1073  20.07   -1.9857  1.23    -1.2827  0.691   
56091-5200-0848 242.36888 +38.3414  3.079 9.3   0  0    2.173   21.09   2.9433   0.179   4.8768   0.294   
56091-5200-0848 242.36888 +38.3414  3.079 9.3   0  0    2.241   20.14   2.2899   0.524   1.3783   0.314   
55744-5008-0628 242.37344 +28.9061  3.4   4.1   0  0    2.4617  20.05   5.1434   1.5     2.6167   0.847   
55331-3928-0477 242.37953 +22.8842  2.174 2.7   1  0    2.1162  20.2    1.0174   0.174   0.8486   0.139   
56430-6793-0264 242.39220 +55.0042  3.501 6.2   0  0    2.1892  21.2    0.2669   0.721   1.0364   1.45    
56430-6793-0264 242.39220 +55.0042  3.501 6.2   0  0    2.262   20.23   -4.0855  3.92    -2.8767  2.64    
55362-4072-0266 242.39681 +16.0971  2.338 3.3   0  0    2.246   20      1.4070   0.162   1.0389   0.115   
55660-4071-0114 242.41049 +14.2468  3.404 20.4  1  0    2.8316  20.92   0.2673   0.13    0.3748   0.176   
55332-3924-0877 242.44135 +20.5817  3.365 11.5  1  0    2.7146  20.82   0.5253   0.222   0.6978   0.286   
55332-3924-0877 242.44135 +20.5817  3.365 11.5  1  0    2.8408  20.26   0.9403   0.415   0.6386   0.309   
55747-4960-0528 242.44244 +33.9281  2.634 2.7   1  0    2.2463  20.02   -1.7727  1.33    -0.6484  0.688   
56430-6793-0798 242.44953 +55.4286  3.408 10.3  1  0    2.1087  20.56   -0.1736  0.351   -0.2233  0.368   
56430-6793-0798 242.44953 +55.4286  3.408 10.3  1  0    2.1361  20.65   -0.7746  0.369   -0.8106  0.419   
56430-6793-0798 242.44953 +55.4286  3.408 10.3  1  0    2.6898  20.57   1.0178   0.323   1.0046   0.331   
55362-4072-0203 242.46652 +15.2677  2.128 5.4   0  0    2.0937  20.09   -0.6044  0.285   -0.3722  0.201   
56189-6323-0238 242.47098 +46.8272  3.135 7.5   0  0    2.5513  20.13   0.6908   0.789   0.4184   0.474   
55707-5009-0196 242.47111 +29.6273  3.055 9.7   0  0    2.6323  20.04   2.3340   0.76    1.2174   0.403   
56189-6323-0796 242.47406 +47.7623  4.25  2.2   1  0    3.4267  20.22   -2.0969  1.14    -1.4032  0.782   
56189-6323-0796 242.47406 +47.7623  4.25  2.2   1  0    3.556   20.08   -2.6660  39.8    -1.1488  17.1    
56092-6052-0032 242.48431 +40.2682  3.31  1.7   0  0    2.8343  20.45   1.1493   2.18    1.0916   2.03    
55749-4964-0332 242.48764 +34.7821  2.58  5.9   1  0    2.0419  20.15   5.7248   0.449   3.1242   0.266   
55708-4895-0787 242.49003 +7.4049   3.558 14.7  0  0    2.7926  20.05   3.7610   0.513   1.5368   0.271   
56103-6034-0766 242.49341 +44.6318  3.255 2.3   0  0    2.8689  20.96   -0.1354  0.807   -0.0859  1.18    
56074-5189-0536 242.49403 +39.5428  3.247 2.5   0  0    2.6803  20.26   2.0189   1.27    1.4162   0.947   
55681-4070-0554 242.50179 +14.2735  3.854 17.8  1  0    3.7185  21      -0.0935  0.0678  -0.1264  0.0828  
55707-5009-0816 242.53298 +29.9721  3.226 3.8   1  0    3.1189  20.19   0.6637   0.235   0.5756   0.2     
56189-6323-0804 242.53927 +47.4124  3.211 21.3  1  0    2.5077  21.09   3.0644   0.0758  4.7829   0.119   
56448-6786-0122 242.54798 +56.6066  2.777 8.9   1  0    2.6854  20.17   0.1998   0.101   0.1771   0.0812  
55681-4070-0524 242.55209 +13.8181  2.352 1.9   1  0    2.2478  20.94   0.8117   0.184   0.9480   0.23    
56448-6976-0399 242.55338 +58.6814  2.862 3.3   0  0    2.1238  20.18   0.0529   0.631   -0.0205  0.428   
56090-6044-0418 242.56967 +41.2983  4.994 5.3   0  0    3.6977  20.03   0.0580   3.62    0.0254   1.05    
56090-6044-0418 242.56967 +41.2983  4.994 5.3   0  0    3.7916  20.7    0.0000   0       0.0000   0       
56090-6044-0418 242.56967 +41.2983  4.994 5.3   0  0    4.6051  20.76   0.0000   0       0.0000   0       
56090-6044-0418 242.56967 +41.2983  4.994 5.3   0  0    4.7106  20.15   1.6273   1.27    1.1367   0.699   
56090-6044-0418 242.56967 +41.2983  4.994 5.3   0  0    4.9018  20.3    0.0000   0       0.0000   0       
56036-5204-0972 242.57533 +11.4665  2.795 5     0  0    2.6344  20.04   0.6281   0.328   0.3915   0.195   
55687-4807-0732 242.57666 +4.4421   2.685 24.3  1  0    2.6065  20.4    1.4505   0.034   1.3406   0.0314  
55719-4961-0948 242.58079 +33.4168  3.157 8.3   0  0    2.2069  20.32   1.6204   0.514   1.2265   0.401   
56090-6044-0626 242.58689 +42.2670  2.458 4.9   0  0    2.2111  20.96   0.9931   0.139   1.3043   0.182   
56189-6323-0806 242.58713 +47.2256  2.265 7.8   1  0    2.1867  20.62   2.4564   0.0627  2.5987   0.0664  
56036-5204-0012 242.59231 +10.6425  3.15  6.6   0  0    2.1104  20.03   2.1318   0.815   1.1557   0.446   
56036-5204-0012 242.59231 +10.6425  3.15  6.6   0  0    2.2876  20      0.4460   1.01    0.1075   0.507   
56448-6976-0606 242.60930 +59.3577  2.914 2.4   0  0    2.693   20.11   3.0468   0.355   1.9949   0.233   
55707-5009-0178 242.61413 +29.0191  2.827 2.7   0  0    2.5163  20.12   0.8130   0.523   0.4897   0.365   
55742-4724-0958 242.61811 +27.4118  2.578 7.4   1  0    2.2194  20.43   1.7410   0.286   1.5397   0.259   
55742-4724-0958 242.61811 +27.4118  2.578 7.4   1  0    2.4258  20.71   0.2799   0.102   0.3225   0.116   
55687-4807-0760 242.62317 +4.7059   2.499 3.3   1  0    2.1138  20.04   1.2006   0.831   0.7219   0.453   
55687-4807-0760 242.62317 +4.7059   2.499 3.3   1  0    2.1382  20.23   0.6244   0.642   0.5127   0.458   
56036-5204-0982 242.62541 +11.5752  2.367 6.2   1  13   2.0431  21.25   0.8599   0.1     1.4542   0.177   
55332-3924-0078 242.63148 +19.6998  2.247 2.5   1  0    2.1849  20.91   0.8594   0.187   1.0254   0.231   
55362-4072-0216 242.63477 +15.7537  2.819 14.6  0  0    1.9922  20.07   -0.2627  0.272   -0.0999  0.141   
55749-4964-0305 242.63876 +35.3680  2.557 1.6   1  0    2.3196  20.35   1.7141   0.735   1.4357   0.626   
55332-3924-0902 242.64318 +21.0794  3.809 1.8   0  0    3.5908  20.3    0.1059   1.85    0.0949   1.51    
55707-5009-0176 242.64383 +28.9907  2.91  4.2   0  0    2.2945  20.93   0.3407   0.626   0.3937   0.856   
55707-5009-0176 242.64383 +28.9907  2.91  4.2   0  0    2.3899  21.02   0.5836   0.567   0.7359   0.809   
55362-4072-0198 242.64430 +16.6235  2.515 4.1   0  0    2.1231  20.32   -0.4587  0.549   -0.3180  0.442   
55331-3928-0408 242.64651 +21.6857  2.686 6.9   1  0    2.5188  20.71   0.9721   0.104   1.1025   0.118   
56448-6976-0418 242.64832 +57.9539  2.111 3.9   0  0    2.031   20      -0.2155  0.189   -0.0623  0.118   
56091-5200-0896 242.65122 +38.1271  2.908 4.9   0  0    2.3334  20.74   -0.1306  0.669   -0.3690  0.802   
56091-5200-0896 242.65122 +38.1271  2.908 4.9   0  0    2.6533  20.19   1.2897   0.533   0.9658   0.399   
55362-4072-0162 242.66080 +15.2165  3.784 2.3   1  0    3.1936  20.52   -0.2228  0.705   -0.2076  0.698   
55362-4072-0162 242.66080 +15.2165  3.784 2.3   1  0    3.2893  21.8    1.8988   0.364   4.4448   0.832   
55362-4072-0162 242.66080 +15.2165  3.784 2.3   1  0    3.3419  22.31   0.0302   0.322   0.0983   0.794   
55362-4072-0162 242.66080 +15.2165  3.784 2.3   1  0    3.4196  21.1    0.3242   0.511   0.5279   0.782   
55660-4071-0940 242.66229 +14.5780  2.222 2.9   1  0    2.0716  20.22   2.8601   0.333   2.2630   0.244   
55365-4069-0438 242.66241 +18.1973  2.537 6.2   0  0    2.2379  20.4    0.5788   0.157   0.5216   0.14    
55687-4807-0766 242.67281 +4.4849   2.394 9     1  0    2.0884  20.43   3.0303   0.15    2.7243   0.135   
55331-3928-0426 242.67739 +22.3913  3.686 2.8   0  0    3.5028  20.44   0.4232   0.826   0.3933   0.767   
56103-6034-0806 242.67847 +44.4971  2.467 4     0  0    2.2831  20.19   0.1350   0.356   0.0950   0.255   
55336-3934-0999 242.68450 +24.4980  2.449 4.7   1  0    2.2101  21.27   0.7707   0.104   1.2161   0.165   
56036-5204-0016 242.68720 +10.8165  3.022 6.3   0  0    2.187   20.76   0.9104   0.405   1.1846   0.513   
55332-3924-0061 242.69167 +19.4908  2.235 4.8   1  0    2.1648  20.39   0.4944   0.107   0.4406   0.099   
56487-6312-0723 242.69274 +53.4279  2.985 4.2   1  0    2.3334  20.44   0.5932   0.862   0.4362   0.773   
56448-6786-0888 242.70118 +58.1933  2.287 2.3   0  0    2.2823  20.45   0.3633   0.327   0.3345   0.313   
55708-4895-0204 242.70179 +4.9362   2.39  6.4   1  0    1.9959  20.54   0.8382   0.19    0.8659   0.194   
55749-4964-0730 242.71834 +36.3925  3.266 3.8   0  0    2.5171  20.24   1.5412   0.793   1.1538   0.554   
55749-4964-0730 242.71834 +36.3925  3.266 3.8   0  0    2.7144  20.2    1.0418   0.858   0.7675   0.587   
56091-5200-0096 242.72213 +37.3605  2.578 3     0  0    2.4024  20.57   0.9240   0.497   0.9440   0.504   
56103-6034-0224 242.72743 +43.9353  3.56  12.4  0  0    2.8213  20.57   1.2473   0.299   1.3639   0.306   
55737-4956-0500 242.73675 +31.2433  2.799 5.8   1  0    2.614   20.34   0.7313   0.173   0.5969   0.145   
56018-5207-0920 242.74333 +9.2553   3.226 6.5   0  0    2.2336  20.11   1.8805   0.698   1.0422   0.369   
56018-5207-0920 242.74333 +9.2553   3.226 6.5   0  0    2.7264  20.02   1.4664   1.37    0.2758   0.642   
56018-5207-0920 242.74333 +9.2553   3.226 6.5   0  0    2.807   20.01   0.6908   1.12    0.4586   0.559   
55335-3929-0873 242.75237 +22.5192  3.808 19.1  1  0    2.4307  20.41   -0.0398  0.257   -0.1254  0.232   
55335-3929-0873 242.75237 +22.5192  3.808 19.1  1  0    2.7105  20.79   1.3731   0.158   2.0156   0.208   
55335-3929-0873 242.75237 +22.5192  3.808 19.1  1  0    3.2972  21.39   0.5627   0.0956  1.0395   0.18    
55708-4895-0188 242.75561 +6.0307   2.991 5.5   0  0    2.3914  20.25   0.7874   0.805   0.6418   0.6     
55660-4071-0954 242.75585 +15.0899  2.943 2.1   0  0    2.5407  20.35   2.2495   1.92    1.8947   1.61    
55365-4069-0570 242.75833 +18.9134  2.372 7.2   1  0    2.0954  20.08   2.0524   0.147   1.3762   0.0961  
56018-5207-0932 242.77353 +8.7432   4.58  6.2   0  0    3.1465  20.4    0.1908   2.52    0.1519   2.01    
56487-6312-0721 242.78106 +53.7023  3.912 2.2   1  0    3.6826  20.91   -0.5769  0.305   -0.7101  0.392   
56040-5205-0426 242.78874 +9.3958   3.454 3     0  0    3.183   20.35   2.6490   1.09    2.1835   0.867   
55719-4961-0023 242.78901 +32.0402  2.248 3.7   1  0    2.033   20.94   1.5729   0.201   2.1754   0.286   
56448-6786-0916 242.79058 +58.6901  2.788 8.6   1  0    2.7532  20.2    2.4709   0.117   2.0078   0.0946  
55332-3924-0068 242.79730 +19.8792  2.553 3.1   0  0    2.2269  20.1    1.8075   1.01    1.0105   0.602   
56430-6793-0766 242.83047 +56.5344  3.47  10.2  0  0    3.3791  20.35   0.1792   0.137   0.1724   0.127   
56103-6034-0198 242.83155 +44.1956  4.036 11.5  0  0    3.9818  20.67   0.2268   0.108   0.2444   0.117   
56485-6798-0026 242.83582 +60.4244  2.595 23.7  0  0    1.997   20      -0.1064  0.162   -0.1169  0.0771  
56034-5203-0738 242.83935 +11.5137  2.319 3     0  0    2.1176  20.16   1.9435   0.364   1.3318   0.255   
56090-6044-0356 242.84355 +41.7360  3.156 19.4  0  0    2.2448  20.02   0.9276   0.219   0.4080   0.118   
56090-6044-0356 242.84355 +41.7360  3.156 19.4  0  0    3.1557  21.09   1.2160   0.0575  1.5873   0.0761  
56092-6052-0020 242.85086 +40.0083  2.577 9.1   0  0    2.2867  20.88   1.6595   0.0873  2.1158   0.111   
55744-5008-0686 242.85091 +28.3530  3.187 3.3   0  0    2.8018  20.28   2.8092   0.725   2.1309   0.553   
55744-5008-0686 242.85091 +28.3530  3.187 3.3   0  0    3.183   20.01   1.0998   0.401   0.9041   0.301   
56040-5205-0626 242.85147 +10.1407  2.739 3.6   0  0    2.6727  21.12   0.1481   0.15    0.1491   0.201   
56034-5203-0264 242.85191 +10.9515  3.052 3.8   0  0    2.7392  21.39   0.0246   0.155   0.0193   0.245   
56091-5200-0066 242.85880 +37.7202  2.921 3     0  0    2.5603  20.38   -0.0197  1.16    0.0266   0.988   
56067-5199-0510 242.89061 +37.5856  3.958 3.2   0  0    3.7335  20.11   0.0000   0       0.0000   0       
56067-5199-0510 242.89061 +37.5856  3.958 3.2   0  0    3.8382  20.32   0.5624   0.232   0.5141   0.211   
55707-5009-0104 242.89293 +29.1910  3.585 7.3   1  0    3.2903  20.09   1.4855   0.305   0.9908   0.203   
55693-4727-0606 242.90756 +25.9802  2.554 2.6   1  0    2.3665  20.38   1.5468   0.327   1.3503   0.287   
55744-5008-0302 242.91725 +27.5082  3.321 24.8  1  0    2.2165  20.04   -0.8098  0.221   -0.4408  0.124   
55744-5008-0302 242.91725 +27.5082  3.321 24.8  1  0    3.0186  20.08   5.0493   0.0864  3.3360   0.0566  
55693-4727-0384 242.91754 +25.1088  3.062 3.6   1  0    2.4032  20.49   0.8920   0.974   0.8344   0.919   
56018-5207-0052 242.91772 +7.6429   2.254 6.6   1  0    2.0934  20.64   0.3529   0.122   0.3898   0.132   
56487-6312-0738 242.92670 +53.5179  3.079 4     0  0    2.7375  20.19   3.0331   0.327   2.3109   0.248   
56483-6316-0646 242.93311 +51.1277  2.973 4.6   1  0    2.8139  20.35   4.0600   0.239   3.4242   0.202   
55747-4960-0424 242.94368 +33.1764  2.767 5.5   0  0    2.1145  20.21   1.1444   0.466   0.8159   0.328   
55332-3924-0031 242.94601 +20.0253  2.798 2.1   1  0    2.6424  21.26   1.1065   0.27    1.7624   0.426   
55362-4072-0158 242.96099 +16.4780  2.436 2.5   0  0    2.3418  20.73   0.6710   0.266   0.7095   0.295   
55362-4072-0126 242.97132 +15.3236  3.132 6.5   1  0    2.2884  21.03   0.7035   0.222   1.0160   0.345   
56189-6323-0844 242.97599 +47.5311  3.224 4.1   1  0    2.8053  20.34   1.7352   1.29    1.3425   1.03    
55707-5009-0084 242.98420 +28.5899  2.427 4.5   1  0    2.3577  20.23   1.1015   0.171   0.9508   0.145   
56040-5205-0580 242.98571 +11.0323  3.213 2     0  0    2.8079  21.36   1.2847   0.663   2.3589   1.19    
56040-5205-0580 242.98571 +11.0323  3.213 2     0  0    2.8272  20.06   -1.1337  1.77    -0.5373  0.987   
56040-5205-0580 242.98571 +11.0323  3.213 2     0  0    2.9272  20.03   -0.3110  0.587   -0.2036  0.381   
56040-5205-0580 242.98571 +11.0323  3.213 2     0  0    3.1714  20.1    0.6434   0.48    0.5366   0.399   
55749-4964-0279 242.99337 +35.5323  2.906 1.8   0  0    2.6407  20.1    0.5472   0.612   0.4418   0.411   
56103-6034-0200 243.00893 +44.2051  3.419 2.4   0  0    2.8149  20.61   3.2295   1.12    3.1952   1.22    
56018-5207-1000 243.01441 +8.6160   2.261 2.8   0  0    2.241   20.01   0.0982   0.393   0.0861   0.263   
56074-5189-0434 243.01936 +39.5108  2.757 2.5   0  0    2.3021  20.25   2.1768   1.26    1.6210   0.918   
55747-4960-0592 243.05648 +34.5805  2.331 3     0  0    2.2194  20.02   1.2819   0.294   0.7120   0.172   
56189-6323-0896 243.06981 +47.0482  4.332 2.5   1  0    3.0114  20      2.5564   1.16    1.3481   0.614   
56189-6323-0896 243.06981 +47.0482  4.332 2.5   1  0    3.4502  20.36   -0.6985  0.849   -0.5402  0.692   
56483-6316-0694 243.08806 +50.8065  3.908 2.9   1  0    3.5403  20.54   -0.0271  0.399   -0.0115  0.397   
55687-4807-0848 243.09426 +4.5165   3.358 10.2  1  0    3.173   20.41   -6.6388  0.624   -5.5552  0.522   
55749-4964-0240 243.11043 +35.5494  2.95  2     0  0    2.0824  20.05   -2.3701  2.55    -1.1319  1.32    
